"名称","年份","单位","论文","项目页","GitHub","License","最近更新/开放状态（截至2026-08-06）","核心方法","是否真实机器人","是否有视觉闭环","是否有 Skill","是否有 Retry/Replan","是否有 Memory","是否支持新机器人","与我们的重合度","可复用等级","威胁等级","Touch R1适配难度","开放内容与备注"
"LERa","2025","论文作者团队","https://arxiv.org/abs/2507.05135","https://lera-robo.github.io/","https://github.com/AmpiroMax/LERa","未发现LICENSE","2025-07-23；约6 commits","Look-Explain-Replan：失败检测后用图像、指令和初始计划解释并重规划","是（XArm6少量试验）","是","是","是","有限","仓库主要ALFRED/PyBullet","高度重合（失败恢复）","C","高","高","真机控制代码与许可证均不足；只作论文/设计参考"
"Code-as-Monitor","2024/2025","Stanford / Columbia等","https://arxiv.org/abs/2412.04455","https://zhoues.github.io/Code-as-Monitor/","未确认开放","未确认","CVPR 2025；项目页未确认代码","VLM生成基于点/线/面的确定性监控代码，运行期反应/预防失败","是","是（持续）","配合策略","是","否","概念可迁移","高度重合（监控）","C","极高","中","强方法基线；支持规则优先、VLM生成/补充监控器的路线"
"PLanAR","2026","论文作者团队","https://arxiv.org/abs/2602.01662","https://planar-robot.github.io/","官方标注Code Coming Soon","未确认","代码未开放","任务解析、 grounding、规划、Skill执行、Action Checker、验证与重规划","是","是（多视角RGB-D）","是","是","有限","论文框架可扩展；代码不可用","完全重合","C","极高","很高","全系统论文威胁；当前不可直接复用"
"CLASP","2026","论文作者团队","https://arxiv.org/abs/2606.08169","未确认独立项目页","未确认开放","未确认","论文可用，代码未确认","VLM从少量示教生成带参数/前置条件的Skill schema，选择绑定并组合TP-KMP","是（7DoF）","是","是","能力缺口会请求示教","有限","需新示教与运动表示","高度重合（Schema/组合）","C","极高","高","直接削弱结构化Skill与选择/组合的创新表述"
"Diagnosing Semantic Handoff Failures","2026","论文作者团队","https://arxiv.org/abs/2607.06256","未确认","未确认开放","未确认","2026-07-07预印本","比较clean snapshot与链式终态，typed args、step budget、多视图VLM验证next-skill readiness","仿真（BEHAVIOR-1K）","是","是","有恢复/预算","轨迹上下文","理论上可换Skill","完全重合（语义交接）","C","极高","高","对拟议handoff创新最直接；真实低成本硬件仍有空白"
"OpenETA / ETA","2026","Fudan / OpenMOSS等","https://arxiv.org/abs/2608.03924","https://openmoss.ai/","https://github.com/OpenMOSS/OpenETA","Apache-2.0（第三方组件另计）","2026-08-03 openeta-light；仓库约18 commits","Planner一次调用一个类型化Tool，Host监督，强制新观测，验证、记忆、回放、仿真/真机统一接口","真实目录有RealSense/UR5e观测与driver；MCP运动控制仍为stub","是（仿真完整；真机观测可用）","Tool/Skill分离","是","可审计Memory","明确Adapter/Tool接口，但新臂需自写driver/安全动作","架构完全重合；开放真机动作不完整","A（架构/基线）","极高","中高","最接近公开架构；真实控制工具未实现，结果需独立复现，不能替换ThirdHand"
"RAI","2025","Robotec.ai","https://arxiv.org/abs/2505.07532","https://robotecai.github.io/rai/","https://github.com/RobotecAI/rai","Apache-2.0","2026-07-22；open issues+PRs约121","ROS2/LangChain机器人无关Agent，类型化工具与ROS endpoint权限边界","是（移动机器人/Franka演示）","是","是","Agent循环支持","对话/日志","ROS2机器人可扩展","高度重合（工具层）","B","高","很高","适合借schema和读写/禁止端点设计；完整迁移开销大"
"ROS-LLM","2024","论文作者团队","https://arxiv.org/abs/2406.19741","https://rosllm.github.io/","未确认本轮官方仓库","未确认","论文/项目页可用","LLM生成序列、BT、状态机，动作库与反思/模仿新动作","论文含机器人实验","有限","是","是","有限","ROS动作可扩展","高度重合","C","高","很高","作为ROS Agent相关工作；不开启Touch R1迁移"
"LRLL","2024","Georgia Tech等","https://arxiv.org/abs/2406.18746","https://gtziafas.github.io/LRLL_project/","未确认开放","未确认","项目页可用","自探索、Soft Memory、Skill Abstractor、持续增长技能库","是/仿真混合（以论文为准）","是","是","是","是","需自建硬件层","高度重合（Memory/Skill增长）","C","高","高","说明自动经验/技能库概念不新"
"ASPIRE","2026","NVIDIA GEAR等","https://arxiv.org/abs/2607.00272","https://research.nvidia.com/labs/gear/aspire/","官方页标注Code coming soon","未确认","代码未开放","从多模态trace诊断并修复代码策略，验证后沉淀90+技能，进化搜索","有真机示例","是","是/自动沉淀","是","是","固定primitive API","完全/高度重合","C","极高","很高","最大自动Skill与自改进威胁；依赖强模型、重置/成功检测和大量算力"
"ENPIRE","2026","NVIDIA / CMU / UC Berkeley","https://arxiv.org/abs/2606.19980","https://research.nvidia.com/labs/gear/enpire/","未确认完整官方仓库","未确认","项目页开放；完整代码状态未确认","自动reset-execute-verify-refine，Coding Agent改训练/策略代码，机器人fleet并行","是","是","支持多类策略","最多8次上下文恢复","Git式研究历史","需先构建自重置环境","完全重合（策略自改进）","C","极高","很高","99%是pass@8而非pass@1；自动重置/验证基础设施是前提"
"LeRobot","2024/2026","Hugging Face","https://arxiv.org/abs/2602.22818","https://huggingface.co/docs/lerobot/","https://github.com/huggingface/lerobot","Apache-2.0","2026-08-06仍活跃；v0.6.0 2026-07；open issues+PRs约710","机器人数据、训练、评测与多种模仿/VLA策略的统一框架","是","策略内视觉","Policy而非高层Skill库","有限","数据集/模型","明确支持添加机器人","只提供底层工具","A","中","中高","适合数据采集和ACT/DP适配，不是Supervisor；相机/校准/版本面较大"
"OpenVLA","2024","Stanford / UC Berkeley等","https://arxiv.org/abs/2406.09246","https://openvla.github.io/","https://github.com/openvla/openvla","代码MIT；模型受Llama 2许可","2025-03-23；open issues+PRs约113","7B开源VLA，动作token与LoRA/微调","是","端到端","策略级","否/依外部","否","需新embodiment数据和归一化","底层工具","C","中","很高","8GB显存与数据/动作适配不适合两月Supervisor MVP"
"π0 / π0.5 (openpi)","2024/2025","Physical Intelligence","https://arxiv.org/abs/2504.16054","https://www.physicalintelligence.company/blog/pi0","https://github.com/Physical-Intelligence/openpi","Apache-2.0（模型另核）","2026-06-16；open issues+PRs约317","Flow-matching通用VLA策略，支持多checkpoint/远程推理","是","端到端","策略级","有限","否","官方警告自定义机器人可能失败","底层工具","D","中","极高","README称推理需>8GB、LoRA>22.5GB；RTX 5060 8GB当前不合适"
"Octo","2024","UC Berkeley / Stanford等","https://arxiv.org/abs/2405.12213","https://octo-models.github.io/","https://github.com/octo-models/octo","MIT","2024-07-31；v1.5 2024-05；open issues+PRs约96","在大规模机器人数据上训练的通用策略，可微调新任务","是","端到端","策略级","否","否","需动作空间/数据适配","底层工具","C","低中","很高","适合作VLA相关工作，不是短期闭环母体"
"RT-1","2022","Google Robotics","https://arxiv.org/abs/2212.06817","https://robotics-transformer1.github.io/","https://github.com/google-research/robotics_transformer","Apache-2.0","仓库archived；2024-01-31最后推送","Transformer机器人策略，离散动作token","是","端到端","策略级","否","否","强绑定原动作空间","底层工具","D","低","极高","有代码/模型但归档且非Touch R1接口"
"RT-2","2023","Google DeepMind","https://arxiv.org/abs/2307.15818","https://robotics-transformer2.github.io/","未开放完整官方RT-2代码/权重","未确认","论文/项目页；第三方同名仓库不计","把动作表示为文本token的VLA协同微调","是","端到端","策略级","否","否","不可直接适配","底层工具","D","低","极高","只作VLA背景；不得引用第三方复刻为官方"
"Diffusion Policy","2023","Columbia / Stanford","https://arxiv.org/abs/2303.04137","https://diffusion-policy.cs.columbia.edu/","https://github.com/real-stanford/diffusion_policy","MIT","2024-12-24；open issues+PRs约98","条件扩散生成动作序列，receding horizon控制","是（UR5/D415）","策略内视觉","可封装为Skill","有限","否","需示教/训练/动作适配","只提供底层工具","B","低","高","学习型Pick/Place候选；优先通过LeRobot接入而非直接搬旧栈"
"ACT / ALOHA","2023","Stanford","https://arxiv.org/abs/2304.13705","https://tonyzhaozh.github.io/aloha/","https://github.com/tonyzhaozh/aloha","MIT","2024-04-19；open issues+PRs约24","Action Chunking Transformer，低成本双臂模仿学习","是（ALOHA）","策略内视觉","可封装为Skill","否","否","需新数据/动作适配","只提供底层工具","B","低","高","建议走LeRobot ACT实现；原仓库硬件耦合明显"
"MoveIt Task Constructor","2019-2026","MoveIt社区 / Bielefeld / Hamburg","https://doi.org/10.1109/ICRA.2019.8793898","https://moveit.github.io/moveit_task_constructor/","https://github.com/moveit/moveit_task_constructor","BSD-3-Clause","2026-08-03；open issues+PRs约117","分层多阶段运动任务规划与候选解搜索","是","依外部感知","Stage/Task","可fallback","否","ROS2/MoveIt机器人可扩展","只提供底层工具","B","低","很高","需可靠URDF、运动学、ros2_control和驱动；两月内暂缓"
"BehaviorTree.CPP","2018-2026","BehaviorTree.CPP社区","未指定单篇","https://www.behaviortree.dev/","https://github.com/BehaviorTree/BehaviorTree.CPP","MIT","2026-08-05；v4.9.0；open issues+PRs约49","成熟C++异步行为树、节点端口、halt与日志","大量机器人使用","依节点","是","是","黑板","可扩展节点","理论依据/执行结构","B","低","高","借Sequence/Fallback/Retry/Timeout语义；MVP不必引入C++运行时"
"Nav2 ROS2 Behavior Trees","2020-2026","Open Navigation / ROS2","未指定单篇","https://docs.nav2.org/behavior_trees/index.html","https://github.com/ros-navigation/navigation2","Apache-2.0/BSD等（按包）","持续活跃","用BehaviorTree.CPP编排导航恢复和动作","是","导航感知","是","是","黑板","ROS2插件","只提供理论/工程依据","C","低","很高","导航专用，不是桌面机械臂母体"
"PlanSys2 / PDDL","2021-2026","URJC Intelligent Robotics Lab / ROS2社区","https://arxiv.org/abs/2107.00376","https://plansys2.github.io/","https://github.com/PlanSys2/ros2_planning_system","Apache-2.0","2026-07-28；open issues+PRs约45","PDDL domain/problem、计划生成与ROS2执行","是","依外部","Action","可重规划","知识库","PDDL/ROS插件可扩展","部分重合","C","低","很高","适合长程符号规划基线；3-8步桌面MVP过重"
"RoboCasa","2024/2026","UT Austin等","https://arxiv.org/abs/2406.02523","https://robocasa.ai/","https://github.com/robocasa/robocasa","代码MIT；资产CC BY 4.0","2026-07-08；open issues+PRs约57","基于robosuite的厨房操控仿真、365任务/大量场景与数据","否（主要仿真）","是","任务/策略","环境重置","数据集","可改仿真机器人但工作大","只提供基准","C","低","很高","适合远期仿真；约10GB资产与依赖不适合作母体"
"BEHAVIOR-1K / OmniGibson","2024-2026","Stanford Vision and Learning Lab等","https://arxiv.org/abs/2403.09227","https://behavior.stanford.edu/","https://github.com/StanfordVL/BEHAVIOR-1K","多许可证；软件/资产/EULA分别核对","2026-08-05；open issues+PRs约309","1000类日常活动、物理/语义仿真与长程任务","否（基准主要仿真）","是","任务/能力","环境支持","数据","仿真机器人扩展成本高","理论/基准","D","低","极高","Isaac Sim/OmniGibson和资产许可重；可借handoff benchmark设计"
"RLBench","2019-2025","Imperial College London等","https://arxiv.org/abs/1909.12271","https://sites.google.com/view/rlbench","https://github.com/stepjam/RLBench","自定义非商业/学术许可","2025-01-25；open issues+PRs约94","CoppeliaSim/PyRep上的多任务视觉操控基准","否（主要仿真）","是","任务","环境重置","数据","可换臂但基准建议Panda","只提供基准","C","低","高","许可证和旧仿真栈限制复用；不接真实Touch R1"
"LIBERO","2023-2025","Lifelong Robot Learning团队","https://arxiv.org/abs/2306.03310","https://libero-project.github.io/","https://github.com/Lifelong-Robot-Learning/LIBERO","代码MIT；数据CC BY 4.0","2025-03-15；open issues+PRs约93","终身机器人学习任务套件与数据","否（仿真）","是","任务套件","环境重置","数据","需改robosuite机器人","只提供基准","C","低","高","旧README依赖Python3.8/Torch1.11/CUDA11.3；OpenETA/CaP-X常用基准"
"robosuite","2020-2026","ARISE Initiative","https://arxiv.org/abs/2009.12293","https://robosuite.ai/docs/","https://github.com/ARISE-Initiative/robosuite","MIT","2026-07-11；open issues+PRs约108","MuJoCo模块化操控仿真，v1.5支持自定义机器人组合","否（仿真）","是","环境/控制器","环境重置","否","支持但需模型/控制器","只提供底层工具","C","低","高","适合CaP-X/OpenETA隔离基线；不是实机Supervisor"
